30000 60000
9786 25068 47
7123 28741 54
15295 16825 39
16501 5847 73
7589 4465 46
4131 28694 88
13253 24618 24
3244 27142 17
3776 18405 87
5434 5586 44
14246 11434 49
6984 1443 16
354 22955 14
19300 9318 29
1090 18877 90
6951 3549 85
5969 1467 19
6582 16610 10
15318 2281 87
13255 9560 32
12310 9535 99
23727 11321 24
27321 29368 18
15648 203 37
24522 6146 85
24309 9893 30
15137 9532 95
8294 20351 74
13437 21901 97
14540 4171 89
8282 29070 94
9844 2675 44
4875 17864 11
4470 26307 73
11385 28523 52
1418 28727 81
8758 2214 50
28649 21039 48
11819 24600 76
26201 1336 35
1904 29689 52
22549 12959 55
7989 24749 67
17929 7309 51
17895 57 34
5564 1225 33
27026 7746 98
7327 3183 14
12197 3801 57
15984 24706 13
29642 16691 76
7560 28329 55
20482 10170 10
28244 6189 52
6814 2082 34
13414 17476 62
1766 7339 36
3710 22499 70
10123 16013 57
21759 6617 24
28431 4281 27
3135 17287 79
14482 23327 90
27245 1782 26
6384 10642 10
20075 13490 45
6564 16917 44
285 12326 90
1476 22933 11
13910 9494 88
25107 1203 31
3284 11692 18
11594 5939 70
20720 18370 35
28192 25641 76
21921 26526 29
11419 1675 77
15866 19133 20
27750 3454 77
3739 24661 50
13141 1467 28
15544 17375 97
29811 25732 82
23761 25218 37
12125 27706 99
14721 18573 49
22182 7565 46
22249 8347 95
22398 28740 97
28696 9614 58
19104 20957 28
29691 18790 63
23016 25019 36
17690 27791 30
16475 9130 31
8399 12953 46
2305 1091 15
2776 1868 81
9474 11920 86
16869 22012 82
7146 9653 13
13090 28811 38
4174 6252 54
8738 21216 95
21913 24166 77
26554 679 31
14014 29697 29
7643 9179 48
15226 19791 16
23368 10172 53
22395 13519 43
16349 19818 50
10532 26419 47
29864 10685 11
26910 27008 77
12636 25540 36
9379 26241 35
18549 12173 13
242 11249 69
15676 4568 55
27195 4652 25
7703 25577 17
1253 28277 15
12106 9248 75
3577 13788 26
24791 13157 59
18175 13636 41
27138 11682 61
14246 19826 23
5244 2777 10
20707 4447 85
5394 23180 78
29604 21364 13
22387 18557 61
8438 5490 12
9894 6226 65
19262 16047 41
28723 48 82
16160 17481 18
2945 20934 55
6793 21586 52
17349 17130 23
7382 28987 91
10271 14338 79
17232 9870 65
19511 27606 42
17779 636 13
7075 20114 45
1807 5885 95
8080 4594 28
14975 9040 80
17416 18376 92
44 20419 32
4744 26665 91
10173 866 37
22265 20460 88
15157 5887 16
16490 18789 69
13995 20112 36
2520 25250 77
19699 29565 76
2663 18117 50
22789 9623 50
14117 10875 57
19265 26090 55
2924 11354 72
21658 7835 62
22522 4803 64
13186 6128 65
28376 19486 16
8898 3969 53
15765 10564 56
7879 9966 11
665 20551 51
14591 14210 90
12739 21450 46
18977 15730 17
25340 3607 14
22267 21612 96
17689 23547 30
12468 11186 37
16992 26052 70
19036 25872 40
16229 9451 48
21716 6482 47
14719 21630 29
18990 17428 60
25013 26063 41
22436 24004 63
21086 15405 30
27148 1987 12
15644 29045 72
11555 8644 65
27180 21394 73
8292 25795 30
8200 6390 41
16651 23969 68
19829 12646 71
11885 16477 31
3490 11699 35
19265 27522 92
1409 28254 25
24646 21984 20
21777 12037 47
23834 19515 73
15185 6355 97
8566 16793 72
19863 16501 56
27078 25193 53
28518 14395 43
17139 2395 76
19200 22691 38
15797 28066 35
6732 22453 59
1318 13400 12
4313 75 38
7989 25076 67
5343 12155 15
11231 20500 65
27066 16501 85
18954 21395 49
1726 644 39
11370 19196 76
29723 7437 88
27150 21930 68
18574 9664 99
16027 7823 96
11703 21520 52
5809 26417 11
15157 18903 48
16308 5926 22
1235 28728 23
4073 23696 28
28696 324 55
1514 23987 85
28967 5705 72
7476 4319 51
11109 26568 83
4926 1299 72
12395 15283 43
11477 6273 63
29231 27801 48
7554 8586 12
8508 5794 14
16372 25719 13
565 15747 40
21684 13193 79
17383 25395 42
5327 8509 17
22587 19504 56
21930 5527 59
23426 16089 21
6622 22172 72
18653 8518 75
12432 20013 66
22580 10711 24
7656 9744 45
26690 21567 43
24495 9858 63
8715 16168 43
26725 14797 41
25698 21923 52
11578 26205 19
8414 10871 93
28009 2711 35
611 17579 23
23340 16706 53
23437 14109 19
25077 7652 34
12330 5612 58
8627 18566 25
108 6694 11
27841 2032 20
28648 12994 70
12072 23129 50
9475 16276 82
329 8023 55
8755 17597 12
7393 22004 60
15771 802 18
17687 23024 33
6796 13923 68
27065 22763 93
4634 7700 97
24980 26102 30
11380 10824 77
13069 11673 72
27063 21790 59
12986 9957 99
11517 7119 78
18316 19972 76
14132 27288 59
6120 23527 66
23404 7411 39
16924 17238 28
24414 59 75
9458 25890 92
4116 19593 28
23262 20859 65
18542 25997 24
11688 14640 47
2684 22357 97
22853 5254 84
21320 29092 65
1384 14203 47
12802 13525 10
26846 25314 37
17662 18626 73
25751 18120 17
20919 23185 30
17754 24875 84
7271 26680 19
14380 22381 94
3362 28833 32
18363 29147 53
2102 23211 76
27347 14477 41
18648 15892 91
19402 28951 89
3900 28471 27
13961 3887 91
9559 17932 15
15180 20095 62
5883 20781 28
11304 28082 98
8311 15202 95
19332 8711 41
20378 28386 16
25791 23698 25
13479 22399 38
3565 21390 26
29980 26803 23
10665 25147 76
29911 8912 92
28434 5197 18
28894 10955 19
29988 7611 53
24030 16605 92
12790 22592 55
29141 20413 56
391 703 47
9520 9424 43
25067 1310 93
6469 24343 54
6793 16349 65
27134 16795 48
18237 19028 15
23956 9975 81
18713 24912 62
7845 7409 39
15612 15234 87
3614 17646 23
26580 10376 14
19466 21327 85
20845 8011 77
11228 1995 73
1085 7802 36
1156 26285 31
9655 320 98
10616 18970 53
19681 21765 77
7292 9921 45
494 6281 43
4839 24040 30
6843 9544 40
18702 29870 15
19263 398 59
15 19950 34
29175 14797 93
28993 15629 97
24266 14254 97
18971 28720 57
13561 17311 87
2739 7579 61
22918 17826 77
9449 14239 42
26478 15237 24
29570 6605 65
2426 10017 93
18371 1066 76
17921 18906 64
29865 19720 25
20990 20247 66
23826 8992 10
23040 16819 95
6286 12630 67
26313 10926 83
2910 12256 91
28130 17510 72
27737 4970 69
23925 6009 66
25133 712 87
22726 17467 31
24642 9838 98
13109 2053 15
5820 16361 10
22021 9044 87
18940 14440 43
27636 28906 78
5260 24701 60
4291 16112 59
10991 5120 27
11716 27510 80
5325 23008 50
5190 11737 31
20539 22006 33
2558 22579 91
14891 10965 35
22937 8617 70
19905 23932 84
15759 26061 49
7754 26163 14
15371 13435 57
7043 11572 100
17355 10312 43
19280 13247 25
22000 10903 97
6520 8367 100
4184 27886 97
26314 14735 32
10088 13258 80
26744 11942 92
21567 16307 60
22445 13878 73
7904 16308 60
3848 7851 22
11954 18880 85
28847 26011 56
5517 15365 89
13099 29188 62
26558 11094 29
15058 21988 99
12028 10279 32
8314 25331 46
22296 26514 77
11010 19488 39
21588 11234 70
24992 28372 28
26663 24107 37
28537 1402 22
21644 3068 95
1475 11507 37
1359 6692 14
28937 1699 48
4298 16911 63
19709 28761 61
25046 18761 81
13998 7118 60
28702 25371 30
19384 3704 21
22520 26020 46
8682 1249 39
45 9682 87
11130 5219 70
12556 20808 87
1610 18118 76
9431 14817 49
6273 14959 84
2044 324 36
22995 8030 86
6518 21908 59
18973 2684 10
21970 3634 61
27496 9334 90
25544 16071 35
21423 22590 75
29224 7601 42
9482 10389 55
8466 24018 62
9905 11059 11
5160 13625 15
23451 3248 70
17763 15188 93
14526 1744 56
12914 6227 45
24839 26617 59
22261 15695 55
29462 27407 19
26243 21360 12
848 5136 80
2110 10866 97
23310 28688 34
13755 15398 36
1005 1092 59
26550 26771 45
10040 18571 12
20711 26311 17
170 1919 10
21719 14146 43
26365 27459 88
26967 11379 45
11763 18870 97
28881 20040 33
17453 27654 63
7356 24440 48
25853 15054 16
10368 21087 43
27886 23943 40
14234 16168 51
11656 493 51
3225 21860 19
21866 28610 99
11891 25830 33
19158 13969 98
17751 26927 44
11370 10521 17
29186 13885 76
27921 4569 88
7598 1092 85
1592 20778 98
3820 25431 34
14141 12620 23
3870 14980 71
26570 20602 21
2031 13321 66
8184 1187 64
15453 1668 38
6658 22144 43
10916 19854 67
22069 13152 57
965 1094 93
8929 12545 50
3942 29848 31
17680 28384 40
9939 28841 50
19980 28051 77
28713 19660 55
10469 14369 78
26460 18387 38
15591 2384 82
24870 21495 35
16486 364 72
14278 25895 52
12979 23444 25
27279 1098 40
29827 7527 16
21546 3265 55
13379 9720 85
2769 11399 21
18878 21191 93
25434 10723 88
29037 3434 29
21874 26694 96
898 19075 75
28649 8975 41
5941 16364 55
17558 14130 31
8799 25789 82
23429 6790 69
24662 13559 49
26270 16569 91
29430 8048 32
21823 25240 32
15764 15284 20
28963 10884 11
3694 5906 91
6236 23560 28
26773 8508 97
9152 11962 65
11835 12268 80
18992 2493 99
29425 26349 58
11265 13708 17
7415 4506 88
8543 15270 62
19065 3186 74
12680 26520 31
11921 20559 82
16151 3773 83
19903 10711 78
25701 28843 10
13838 11072 60
9629 14783 11
26716 16407 80
25322 21854 20
29329 28016 48
3389 17083 75
444 20259 56
1115 16612 35
6871 14299 78
8579 8142 92
14271 29345 52
6519 14218 40
1715 11693 20
28858 17693 34
3613 11899 27
5095 6305 96
29887 13083 77
10026 9205 17
24897 28717 22
16036 18996 19
18089 29303 29
6727 16260 71
7914 21332 13
23835 29446 74
14842 22851 65
13885 26258 94
25180 20007 52
16428 12233 30
24535 26406 71
5115 27709 32
16475 15353 20
17856 11830 48
2767 764 22
17047 20125 18
28949 22209 22
24850 8439 71
15149 7699 88
28595 6314 64
25321 28649 88
7588 14042 57
6273 28915 99
16953 4231 15
13890 22824 34
22441 9189 78
22282 5629 90
13104 10074 55
25155 27768 23
8450 14749 64
23423 3332 13
29201 25851 72
20818 529 86
28682 2274 17
20118 14015 55
28246 5546 78
18134 19763 90
13712 7033 40
14805 22259 49
9636 22571 48
6563 10624 91
3135 15966 16
21600 20755 46
13221 2974 68
10885 24311 21
5306 17668 16
19819 25564 72
16074 24738 68
27387 26098 92
22416 22393 49
3971 20061 56
14556 2427 88
14202 23860 57
1928 5490 56
15468 22965 42
19376 2362 72
29578 3741 31
5428 4001 79
15434 11356 75
22810 28804 25
22236 15259 11
1952 2553 69
24882 26786 25
23597 25160 17
4016 6207 76
3042 19098 93
19099 3720 42
9355 26580 99
8809 12553 16
5669 19575 11
25817 7371 35
20185 19975 24
27889 9345 44
15865 25787 56
19732 14920 52
29687 13584 38
4270 3032 60
8649 8733 82
13117 23673 10
20102 15649 59
7423 22324 10
13245 9288 23
26674 28409 85
13705 27274 92
1120 9082 58
23612 23643 33
2271 3372 76
17172 1449 96
12650 19886 52
22724 11640 54
470 3248 37
14591 15609 23
29600 8254 17
2949 28857 61
21798 2496 44
17701 12797 99
14513 28186 92
26456 26234 90
16410 21020 88
4644 5704 93
25451 7080 87
3785 14013 91
3771 6181 71
29308 14149 64
15419 17639 30
6366 8475 94
18968 13096 45
24013 10220 58
29548 20927 93
17474 16769 44
14809 4744 39
26332 23613 24
27175 27009 19
23117 13905 42
12158 8590 17
28191 23760 79
2601 22540 72
13756 27036 79
19755 28620 53
25922 20907 22
1675 3085 41
18500 23116 26
20556 7555 92
7333 24635 28
5076 21036 59
15664 1925 63
17469 29466 76
6137 23546 23
26450 16026 18
16968 3861 23
13020 11238 100
5206 8845 48
19772 1458 11
25539 26713 40
29860 10119 74
23511 13714 58
4617 721 38
12412 24345 91
13126 24634 82
11325 9557 11
27607 29248 65
8483 13962 30
15713 14887 54
130 21151 62
8952 10183 87
27982 13601 66
25235 15483 18
22377 6048 46
26112 1727 14
25771 6304 19
26841 23293 72
1778 20733 59
11951 12809 26
14102 15769 40
19286 19660 44
19947 27321 46
209 23910 84
4723 7802 26
26402 27047 35
15819 26871 70
12569 22485 24
29023 20766 65
25402 15025 38
23315 12983 37
8949 18244 36
8022 6677 47
26910 16574 13
21278 28813 56
12191 2797 32
24663 21720 46
12955 5548 15
15525 12382 100
10140 4536 29
14544 29188 65
19752 29321 65
10312 26547 78
14353 24354 74
18086 19798 81
22884 28674 76
1818 7234 67
22319 21193 32
5857 9107 91
8576 27994 58
29952 9481 53
27208 24072 80
10885 24330 46
7203 12303 57
14912 26371 15
1636 7569 13
14302 17136 85
9839 2202 48
19346 25961 72
682 23055 44
5240 1363 57
12702 13212 96
15715 26108 12
27788 27041 40
11272 184 47
21454 21728 42
22477 14755 83
23455 25202 90
8035 21887 49
10171 7642 38
1365 23955 87
11652 26318 91
26477 4088 39
15095 15857 45
7805 11010 79
21091 13177 45
23988 26693 68
8254 6633 37
21857 1915 22
8692 4957 88
629 12992 77
23554 3932 44
13217 14651 76
13080 11519 55
20647 7648 92
24571 26044 81
15010 27478 14
22970 29878 60
29908 11015 61
14717 23789 56
11794 27413 19
22700 24080 13
17477 21646 28
26078 16772 30
224 17979 33
6191 23657 25
10703 23651 89
4150 26329 48
10105 6885 11
11667 5816 68
25936 4905 82
3911 8976 46
4287 16870 99
26803 4958 23
11316 22188 89
19892 24557 93
10304 14359 17
13381 20966 41
20715 20569 22
20445 4023 57
21752 17205 81
7990 19390 32
19474 23709 53
4526 25970 85
2480 19712 23
21128 26833 15
14593 4032 64
29953 16122 39
19110 12138 21
29096 16990 11
17077 11371 24
10260 13386 24
10031 24479 86
12933 29523 52
6719 10042 44
6400 5481 31
3440 27032 73
14556 20457 91
12184 29583 42
1556 3630 66
9255 22656 45
18331 23842 36
18925 14167 12
4009 14318 23
7499 16530 48
23960 16539 15
8877 919 22
23755 5100 66
23858 22571 85
21365 16983 98
18939 28393 41
15285 27165 21
8520 24571 71
15322 15771 78
16702 7196 53
21158 11746 32
15501 16886 12
7911 8444 28
13935 24001 64
27167 18813 13
7448 8392 72
28284 12364 83
12802 20152 59
3507 5463 27
13345 21455 36
5799 11614 47
11556 25748 44
22165 18930 19
22766 17349 61
28229 29523 80
4524 2177 77
23589 20250 49
11552 24732 71
7553 14555 46
12838 2548 71
8267 19026 83
14467 7080 24
15034 17909 36
13371 12291 36
16440 19284 13
19835 15271 19
8142 16143 19
16205 25706 67
24369 14185 87
24048 26469 76
9926 7343 44
1107 16353 93
8180 3727 10
8142 26272 15
14126 28278 65
13881 25159 54
1428 479 80
25367 7247 20
22004 4216 67
5313 4807 47
1319 25953 54
17798 18997 53
23119 22793 47
28805 2079 55
1458 25658 26
1386 1642 96
15805 8233 70
15855 7867 72
24146 25634 12
10026 4173 73
15024 21045 86
22557 12511 62
7959 5228 21
23137 17473 36
18667 10825 22
18018 20067 57
29615 2049 21
10741 19096 21
17020 10724 34
17906 28027 96
26152 6843 68
22345 14952 14
12287 11825 60
11217 13039 83
8249 23724 65
14641 9569 52
10850 5618 94
28984 11586 100
20180 6557 14
5647 24666 54
14220 9230 34
11876 23831 61
12266 1805 84
24581 514 41
7315 23454 68
17915 13399 27
21739 25565 81
5113 19378 83
3481 11335 67
22763 24440 18
14904 28366 63
22980 19896 83
18888 27679 21
4320 25677 72
18950 29083 86
20384 5880 71
1127 24344 21
846 14947 51
14688 3110 51
13107 28010 91
13815 4745 89
1552 11848 81
19534 1057 70
12689 10483 20
10461 24584 99
17516 23224 74
26895 5568 75
12463 4908 31
20307 27897 54
20056 18849 67
19064 23412 69
24550 26777 91
8396 11181 50
26542 22814 95
834 7857 36
20738 15251 24
4055 9538 62
835 17889 16
16184 16822 19
15648 25240 86
16561 8316 87
25058 4151 87
10077 4583 50
3903 27500 75
24629 6282 62
15111 7201 12
14115 25470 94
6042 23871 10
23156 10508 89
12850 2541 94
11902 12543 60
10922 10262 17
4551 520 39
26684 1559 29
13185 7423 51
2566 9817 61
4882 27811 57
6231 28307 48
4177 28791 82
10115 8730 25
11229 24315 80
7167 8503 82
20832 286 83
16881 3475 59
7673 6915 41
21636 7086 17
10710 19613 39
6809 4870 87
17533 16295 23
26463 2807 58
5385 23290 42
15505 18428 57
9417 22884 79
3557 9621 25
8289 12011 57
18757 2545 14
15219 2932 59
5406 9605 31
4080 856 83
19830 8382 75
4195 25554 41
25075 586 56
14293 23980 84
14976 1483 21
10477 16339 16
17342 19273 60
28764 13651 17
909 8670 47
14375 9439 74
28476 20038 71
12529 29478 91
16036 15366 74
5139 17456 82
17606 17482 26
5482 26321 85
26324 15227 31
11977 1648 98
22044 12692 70
13226 22289 68
8386 118 85
13462 10382 91
20361 16491 55
13116 14682 82
21491 22778 96
17777 14217 81
5485 15697 39
26970 24954 78
6405 8587 36
24009 29129 13
7993 29764 64
3970 7496 66
8917 23702 50
9568 20495 41
10545 28121 33
22481 8496 37
24343 14395 16
3150 6635 31
4589 18593 98
28591 12799 59
12359 7342 45
7796 19305 37
28198 11518 99
7519 23330 37
12995 27937 28
16841 9806 96
17374 25800 78
10741 26246 23
16136 1150 46
13732 6092 82
14341 10365 70
22296 21734 74
12688 29175 15
3359 17878 27
9643 25332 57
22917 13912 63
9373 8569 52
8195 20839 98
10383 27123 97
20422 9374 30
16891 4262 54
3471 13797 32
13442 18327 73
20592 18325 56
13993 17451 98
2643 23406 54
12769 29140 47
23693 16209 78
6194 29948 41
9005 22121 55
9306 20768 73
18316 13756 21
3095 16376 61
5561 25399 69
17579 27335 31
27657 11411 54
4103 17224 80
6438 20729 89
1062 25130 95
17941 16813 81
26580 4703 77
9684 16697 18
22688 20458 15
22317 29451 52
700 18462 46
28873 21145 27
9123 3501 75
29462 10731 22
15591 8081 10
5799 13654 90
3517 9752 54
6534 18196 97
11335 21003 49
12905 29631 77
21198 15270 35
14194 10584 64
28248 27955 48
12021 27289 42
25609 28075 46
13537 7049 35
20148 21827 90
7135 22461 23
24230 26019 35
28824 8691 22
29387 2642 11
22093 28725 62
12080 4109 49
2351 1166 22
23220 13665 96
29902 23658 29
18307 23901 77
15204 2128 60
1785 556 55
19802 27085 82
6889 18488 97
11761 7118 86
14065 17196 37
14091 18369 19
21105 5031 43
3744 9052 95
26418 20962 38
13707 28004 60
26342 5316 21
10285 5793 23
26416 7432 53
2063 21180 74
7098 7075 30
192 24549 33
26838 10505 78
27927 26236 74
29 24882 15
12365 15931 50
11958 27046 32
444 7844 83
6711 9921 18
11763 26990 17
6047 3186 48
21199 9185 31
6321 26394 100
25372 22066 83
12602 8378 90
26985 3255 49
11071 14270 58
28962 3237 42
6126 22800 95
28051 13855 53
9272 21020 58
9593 7862 86
27635 16166 21
22980 8281 12
24062 17981 39
4296 25924 48
27774 21955 94
29013 23160 74
10443 20380 76
7487 342 65
22226 1024 34
1311 19576 93
5961 20284 34
3250 14118 51
22881 1214 13
21318 25092 86
290 19334 14
4593 12824 44
27672 6338 92
16839 29601 71
16333 25920 43
1691 1166 77
17645 4137 89
12597 668 96
25265 3403 53
11198 15951 45
18709 14963 52
21519 13810 66
28201 2269 13
11127 10375 27
24574 14396 38
21228 18370 41
3711 27902 66
10562 5727 42
16826 13625 28
3575 3840 20
24080 5856 85
9898 7061 66
6099 27812 52
29814 403 86
2198 902 62
400 12547 45
1868 29798 66
29271 14476 25
4514 11230 60
9937 26365 59
25040 29316 84
9002 11734 29
12091 10717 84
12080 18174 29
9383 6254 90
13779 5906 40
21939 12356 84
28990 22026 22
22834 7683 69
28589 1037 66
23772 22039 27
17235 9688 36
25147 29467 53
21054 4594 70
10003 9427 91
1195 16191 91
26113 21409 45
25861 9583 35
10705 2315 23
21377 20561 24
14439 6439 81
9917 13784 25
18111 7759 44
7355 2252 62
7738 27843 24
1693 29519 80
27931 15633 44
26552 20330 86
1803 1046 29
21244 20607 29
738 28487 67
18007 6368 80
17658 12277 24
1409 10215 65
16266 12513 91
18604 28357 25
22626 29444 26
27147 14984 14
22110 14934 92
23126 17408 25
9286 26980 38
21110 5994 53
5525 25518 58
26979 16936 19
24251 580 35
20526 19772 48
21825 15456 39
10225 4877 25
26689 706 51
29179 723 42
5714 23819 12
1911 17804 54
5194 7778 12
4756 23420 79
8154 13931 96
3039 12788 73
23671 29425 30
28754 19221 90
19937 13534 17
7875 13472 57
28301 192 24
21085 4940 74
19840 861 65
28024 17288 14
27583 7558 78
5174 9349 23
25924 1105 25
2016 16396 78
17181 13718 61
4909 21280 18
27757 18653 43
10372 29151 80
19718 17005 24
27569 23725 63
19236 23543 25
11898 10330 22
8472 23942 78
1380 11215 95
18887 14078 55
10172 14449 22
23814 27756 45
17612 17229 71
13195 1611 78
23600 17267 79
5702 22626 81
2202 7453 43
21323 24302 96
1580 24636 47
13212 2102 100
12259 22689 68
9657 810 46
7 25303 47
755 15863 44
20673 12777 23
7398 20264 59
5213 29843 20
27107 23509 72
2706 1375 52
13118 4401 92
3328 7819 100
10999 5892 53
8548 5847 90
8527 17968 16
19429 1018 50
2118 24305 12
25540 9287 98
28462 18957 24
7566 1436 79
683 20274 19
13557 12037 84
12551 21549 90
21098 21412 19
1809 25276 53
5481 19917 76
15036 9835 100
20568 9059 66
8215 26191 79
21196 6226 83
17151 22632 51
3143 24611 91
29605 16534 91
14296 7595 20
25231 14415 71
21594 17901 79
26437 19706 71
27886 16740 77
21566 13346 32
18326 25895 81
14526 23152 78
9240 22787 54
18222 4963 44
16131 27662 78
4204 2782 61
15930 5709 34
20238 12532 18
4526 15182 56
732 6401 26
22676 17378 76
13883 8433 75
1692 12726 31
9561 6109 12
12063 24136 31
5838 9244 28
23283 23672 75
17010 9124 22
11 13291 72
9583 7802 36
2235 2876 98
13597 3335 60
3144 13300 59
26603 27827 30
12993 14065 31
28880 29310 22
7401 9695 77
19482 10449 79
3738 4123 79
8536 15232 47
26618 15410 66
4716 6444 20
27048 1600 22
2588 27850 39
7169 5797 92
21800 22096 33
1780 13341 18
5308 10578 90
29105 2644 66
3958 1722 93
5922 27482 65
15771 6031 23
26134 10486 38
12245 16939 39
26572 10516 75
15132 18382 67
12578 18992 29
12084 15715 39
28841 21029 85
23568 29022 48
8999 8656 74
26309 9213 65
10277 8532 81
7392 14230 99
13711 3832 49
29406 25334 12
18090 21505 12
17893 14879 98
8320 7397 65
17139 13300 58
13498 29048 22
28863 22801 86
11389 13795 39
8169 21035 39
11687 29344 70
13214 16948 99
17081 22895 93
26996 12761 93
22402 23923 45
24041 10576 83
12489 20980 74
7793 3017 68
2473 19502 44
17394 23485 84
16946 24758 88
24090 13074 22
16528 18006 56
4547 23489 51
8681 17716 14
12652 26264 80
14209 20094 50
27492 6920 27
445 21327 76
18872 22310 82
18532 12728 25
17695 15654 34
22922 29716 34
11626 6925 15
9666 16712 99
19026 865 30
19658 17470 92
16906 7287 72
28779 3884 73
25170 4254 84
20196 20387 40
22671 12309 67
21809 12325 78
25275 9938 81
13387 252 29
7127 6074 96
5837 297 84
27404 2209 19
20192 12424 99
15865 12422 58
13314 9894 27
27763 2428 74
13034 14331 71
12519 29215 17
4909 27757 50
12716 26717 83
11094 17657 50
19017 5183 13
17263 581 63
4771 21776 85
9234 20836 11
27270 6494 84
2537 186 62
25975 26270 35
6401 5396 93
28458 5758 11
12213 23717 16
26615 18724 38
13935 4547 21
25962 10461 31
12190 2092 64
27110 28299 53
1713 6874 45
21512 29749 94
642 13891 44
16323 17707 80
376 27206 91
22361 26853 88
22388 28735 21
27031 27610 37
27305 16829 81
13214 16202 13
22797 19841 73
17147 9503 97
22610 28430 68
18169 26824 85
13896 18118 49
23972 20750 14
29784 9163 42
10226 22230 20
10000 4837 32
19498 12986 88
11352 18187 61
12512 28811 50
21582 23871 68
14196 26662 10
26309 11565 45
3229 9439 84
10396 27961 96
4421 7849 90
14086 7565 94
17176 19880 32
9082 17044 14
28548 21332 52
18847 4228 68
9576 29932 13
5464 10776 98
25325 21288 60
9438 10309 61
5210 13630 14
27336 1799 89
9740 5117 61
6814 28816 77
20855 2187 11
8442 19983 24
6224 17639 82
25043 23944 94
23323 4351 67
10164 24130 42
16924 23671 69
16210 2690 100
29777 10441 24
20791 24574 77
20867 12675 80
6031 15231 44
19416 1849 98
5805 26419 87
158 25472 63
14474 5238 35
24009 22469 58
3463 25802 75
22892 3743 94
22543 1549 25
5388 8611 26
28231 20637 82
22501 9774 35
29553 26686 62
23062 29170 28
7248 26842 25
19974 783 77
5179 26821 59
17769 16330 10
5337 16269 53
245 18590 63
28046 2244 55
4610 13436 20
22907 4278 81
26097 14607 48
15213 20739 80
25086 1814 54
25042 24475 92
20896 9616 70
15441 18088 91
28130 14357 35
5516 26035 51
19288 13140 55
5603 18898 33
27148 29682 54
5587 10662 47
3165 2324 80
8737 17827 98
13632 3801 96
7352 1151 11
11764 19131 41
23420 14222 54
28384 14828 29
3559 29740 26
14175 1032 65
25838 8526 95
10852 4529 71
21787 11828 47
22803 10629 85
26253 23706 99
15557 14882 45
6627 28316 64
9387 21801 96
17773 19698 40
7239 28058 97
713 300 52
25288 24412 32
20688 6203 88
25802 18653 19
5465 11015 90
5223 21920 16
29296 2619 61
4799 29517 13
22653 22930 40
3869 25303 15
20746 12824 32
23060 13316 50
554 14325 83
5045 2217 32
3993 28013 42
8452 5415 70
15945 22324 56
1286 12247 45
8461 13545 47
24223 14926 90
25112 15921 39
19177 24450 97
19908 16116 20
16928 4783 29
18912 16171 83
28698 5389 83
6753 24100 69
28921 3823 50
24445 511 44
25251 20712 40
15660 19361 40
13773 12196 52
12144 27238 59
3583 901 36
21655 15527 53
10048 24313 62
28232 23173 59
13943 27578 32
22656 21918 73
527 5527 51
7115 11204 70
19714 2443 15
4737 26724 51
29230 385 89
102 20801 10
23608 28000 71
22461 7348 10
956 6643 51
24183 18248 52
1067 16687 92
28908 13137 60
2261 15433 14
1121 9536 10
6495 3569 74
5422 16741 45
3030 27295 61
4879 19197 78
29817 5838 18
10793 29250 69
19915 15554 22
24238 28475 65
8894 4936 83
27943 27613 38
12239 25807 80
26213 22576 29
28347 16895 84
17295 9909 32
16410 20487 33
26933 6536 78
16971 1536 84
4334 16619 39
24714 26966 36
22849 21373 41
17957 19847 16
16845 11305 87
17583 7369 47
10341 3116 34
6991 22496 21
22549 29137 16
19247 17904 98
23912 20568 43
17281 2639 19
24565 8926 100
20524 14464 76
21632 16860 35
16741 21153 18
3803 14870 99
16655 15587 60
10462 23866 90
26140 25751 42
19870 7824 69
17627 4614 92
26929 10183 60
27656 11250 40
24872 8233 51
8461 21245 46
24067 6398 100
16732 14828 24
9457 19678 98
2732 21977 26
28421 9329 95
6520 1595 68
20349 22074 88
9210 2786 30
16634 15632 51
22440 1308 39
21845 3712 14
27887 22169 93
10791 20167 91
28870 1686 59
10186 1842 50
28100 27792 52
12255 6783 23
8865 4346 97
29087 27873 15
13043 11881 28
16614 7112 58
8225 28777 25
12960 18511 78
29636 25983 32
4203 15127 18
26831 19918 29
2779 10987 46
5770 19564 14
6807 11118 24
13583 19101 77
1192 9588 87
24074 7721 32
1714 13211 74
11149 2970 32
21504 12823 15
921 10253 22
27806 18241 78
13917 20579 73
3869 15460 23
23416 13347 53
3649 977 69
25661 18242 91
13680 2819 83
7411 18279 96
22965 2947 70
2872 29282 41
23322 263 12
14923 25650 25
24327 19086 81
28539 7039 40
19834 3230 72
15622 6154 41
4471 21423 10
9045 6462 98
23600 22648 25
9733 14130 13
1005 15247 94
14069 105 95
6378 22290 24
25665 13587 59
26495 6255 100
461 8116 40
7415 28991 28
28311 9140 31
6216 18011 84
17511 18284 55
7350 26602 76
16093 9066 55
13647 16696 93
21039 25979 85
3278 9459 60
14063 834 12
27271 7888 87
13889 1440 12
11047 1804 55
26608 25101 43
13163 10734 54
20607 29128 57
20387 25657 97
28875 15943 33
15611 20427 51
22792 16885 10
14129 29463 24
6016 1894 73
6154 11581 71
25923 5555 90
17183 6219 15
11454 8953 58
4764 6277 29
27038 14820 65
18989 8545 45
20789 14062 45
10321 3214 14
1143 24854 76
8522 628 18
2125 3769 45
15215 10877 69
23951 21235 34
12260 8749 89
